Company,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Day_of_Week,Company_Amazon,Company_Apple,Company_Facebook,Company_Google,Company_Netflix
Apple,AAPL,2005-01-03,1.156785965,1.162678957,1.117856979,1.130179048,0.954408526,691992000,2005,1,3,0,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-04,1.139106989,1.16910696,1.124464035,1.141785979,0.964210212,1096810400,2005,1,4,1,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-05,1.151070952,1.165179014,1.143749952,1.15178597,0.972654521,680433600,2005,1,5,2,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-06,1.154821038,1.15910697,1.130892992,1.152678967,0.973409116,705555200,2005,1,6,3,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-07,1.16071403,1.243392944,1.15625,1.236606956,1.044284105,2227450400,2005,1,7,4,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-10,1.246963978,1.262500048,1.212142944,1.231428981,1.039911866,1725309600,2005,1,10,0,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-11,1.21875,1.234820962,1.145357013,1.152856946,0.973559082,2611627200,2005,1,11,1,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-12,1.168750048,1.176785946,1.130357027,1.168928981,0.987131894,1919702400,2005,1,12,2,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-13,1.316249967,1.328928947,1.245179057,1.246428967,1.052578092,3164716800,2005,1,13,3,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-14,1.25446403,1.280714035,1.235535979,1.253571033,1.058609486,1770742400,2005,1,14,4,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-18,1.24732101,1.262500048,1.209820986,1.261607051,1.065395951,1006460000,2005,1,18,1,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-19,1.258749962,1.276070952,1.24553597,1.247856975,1.053784847,751895200,2005,1,19,2,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-20,1.243749976,1.272678971,1.240535975,1.258213997,1.062530279,914922400,2005,1,20,3,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-21,1.273393035,1.27857101,1.25,1.258749962,1.062983513,911332800,2005,1,21,4,0.0,1.0,0.0,0.0,0.0
Apple,AAPL,2005-01-24,1.267500043,1.281785965,1.259821057,1.263571024,1.067054152,841629600,2005,1,24,0,0.0,1.0,0.0,0.0,0.0
